Date,Open,High,Low,Close,Adj Close,Volume
2021-10-01,36.750000,36.759998,35.080002,35.459999,35.459999,7770600
2021-10-04,35.180000,35.200001,33.520000,34.110001,34.110001,6557200
2021-10-05,34.259998,35.740002,34.255001,35.520000,35.520000,5425300
2021-10-06,34.849998,36.118000,34.720001,35.750000,35.750000,5469600
2021-10-07,36.900002,38.880001,36.840000,38.259998,38.259998,12748700
2021-10-08,38.400002,38.480000,37.340000,37.660000,37.660000,4624200
2021-10-11,38.000000,38.430000,37.349998,37.419998,37.419998,4319000
2021-10-12,37.750000,38.389999,37.200001,37.709999,37.709999,5082500
2021-10-13,38.150002,40.000000,37.880001,39.889999,39.889999,9307200
2021-10-14,39.110001,40.200001,38.830002,39.389999,39.389999,5407700
2021-10-15,40.419998,43.000000,40.230000,42.790001,42.790001,17186000
2021-10-18,42.220001,43.845001,41.610001,43.209999,43.209999,9186200
2021-10-19,43.750000,44.580002,42.919998,43.150002,43.150002,8055000
2021-10-20,42.799999,43.290001,42.110001,42.939999,42.939999,5703200
2021-10-21,42.490002,43.894001,42.279999,43.500000,43.500000,5511200
2021-10-22,43.639999,44.500000,42.889999,43.139999,43.139999,7525400
2021-10-25,44.750000,48.419998,44.240002,48.090000,48.090000,28325800
2021-10-26,47.389999,49.487999,44.580002,45.340000,45.340000,19877500
2021-10-27,46.410000,48.070000,45.770000,45.900002,45.900002,11521300
2021-10-28,47.230000,47.840000,45.220001,46.240002,46.240002,9398300
2021-10-29,46.000000,46.849998,45.650002,46.630001,46.630001,6551500
2021-11-01,48.700001,49.549999,46.799999,47.869999,47.869999,20155000
2021-11-02,47.200001,48.299999,45.669998,46.900002,46.900002,8759700
2021-11-03,46.500000,46.849998,45.750000,46.639999,46.639999,5303800
2021-11-04,48.000000,48.840000,47.220001,47.840000,47.840000,11693000
2021-11-05,48.070000,48.080002,45.759998,46.389999,46.389999,9628300
2021-11-08,45.410000,48.169998,45.049999,47.110001,47.110001,8396600
2021-11-09,46.930000,47.000000,44.130001,44.299999,44.299999,9595600
2021-11-10,44.380001,45.740002,43.830002,44.330002,44.330002,7692600
2021-11-11,45.700001,47.950001,45.009998,47.580002,47.580002,8959800
2021-11-12,49.000000,50.400002,47.660000,48.529999,48.529999,16642400
2021-11-15,48.529999,49.040001,46.880001,47.500000,47.500000,6449500
2021-11-16,48.400002,50.099998,47.730000,50.000000,50.000000,13366500
2021-11-17,50.000000,50.000000,47.840000,48.299999,48.299999,8941500
2021-11-18,48.070000,48.650002,45.880001,47.270000,47.270000,9414900
2021-11-19,47.459999,48.320000,46.349998,46.889999,46.889999,7686200
2021-11-22,47.869999,50.000000,47.110001,47.389999,47.389999,14876300
2021-11-23,49.000000,54.000000,47.500000,51.299999,51.299999,36340000
2021-11-24,51.299999,54.990002,50.279999,54.369999,54.369999,26702700
